,departamento,lat,lon,empleo,clae2,clae2_desc,empleo_rep
16977,Almirante Brown,-34.834,-58.385,c. 50-199,49,Transporte terrestre y por tuberías,125
16978,Almirante Brown,-34.823,-58.345,c. 50-199,49,Transporte terrestre y por tuberías,125
16979,Almirante Brown,-34.816,-58.33,d. 200-499,49,Transporte terrestre y por tuberías,350
16980,Almirante Brown,-34.849,-58.379,c. 50-199,49,Transporte terrestre y por tuberías,125
16981,Almirante Brown,-34.833,-58.386,c. 50-199,49,Transporte terrestre y por tuberías,125
16982,Almirante Brown,-34.834,-58.385,e. 500+,49,Transporte terrestre y por tuberías,500
16983,Almirante Brown,-34.765,-58.329,c. 50-199,49,Transporte terrestre y por tuberías,125
16984,Almirante Brown,-34.863,-58.392,c. 50-199,49,Transporte terrestre y por tuberías,125
16985,Avellaneda,-34.68,-58.369,b. 10-49,49,Transporte terrestre y por tuberías,25
16986,Avellaneda,-34.721,-58.339,c. 50-199,49,Transporte terrestre y por tuberías,125
16987,Avellaneda,-34.722,-58.338,d. 200-499,49,Transporte terrestre y por tuberías,350
16988,Avellaneda,-34.663,-58.383,b. 10-49,49,Transporte terrestre y por tuberías,25
16989,Avellaneda,-34.714,-58.346,c. 50-199,49,Transporte terrestre y por tuberías,125
16990,Avellaneda,-34.672,-58.395,d. 200-499,49,Transporte terrestre y por tuberías,350
16991,Berazategui,-34.785,-58.252,b. 10-49,49,Transporte terrestre y por tuberías,25
16992,Berazategui,-34.769,-58.194,a. 1-9,49,Transporte terrestre y por tuberías,5
16993,Berazategui,-34.758,-58.207,d. 200-499,49,Transporte terrestre y por tuberías,350
16994,Berazategui,-34.785,-58.252,e. 500+,49,Transporte terrestre y por tuberías,500
16995,Berisso,-34.91,-57.79,c. 50-199,49,Transporte terrestre y por tuberías,125
16996,Berisso,-34.87,-57.87,b. 10-49,49,Transporte terrestre y por tuberías,25
16997,Brandsen,-35.17,-58.24,b. 10-49,49,Transporte terrestre y por tuberías,25
16998,Campana,-34.16,-58.98,b. 10-49,49,Transporte terrestre y por tuberías,25
16999,Campana,-34.16,-58.97,a. 1-9,49,Transporte terrestre y por tuberías,5
17000,Comuna 1,-34.603,-58.387,d. 200-499,49,Transporte terrestre y por tuberías,350
17001,Comuna 1,-34.597,-58.374,c. 50-199,49,Transporte terrestre y por tuberías,125
17002,Comuna 1,-34.615,-58.375,c. 50-199,49,Transporte terrestre y por tuberías,125
17003,Comuna 1,-34.599,-58.378,c. 50-199,49,Transporte terrestre y por tuberías,125
17004,Comuna 1,-34.597,-58.374,d. 200-499,49,Transporte terrestre y por tuberías,350
17005,Comuna 1,-34.615,-58.375,c. 50-199,49,Transporte terrestre y por tuberías,125
17006,Comuna 1,-34.597,-58.374,b. 10-49,49,Transporte terrestre y por tuberías,25
17007,Comuna 1,-34.609,-58.391,a. 1-9,49,Transporte terrestre y por tuberías,5
17008,Comuna 1,-34.605,-58.383,b. 10-49,49,Transporte terrestre y por tuberías,25
17009,Comuna 1,-34.606,-58.386,c. 50-199,49,Transporte terrestre y por tuberías,125
17010,Comuna 1,-34.615,-58.375,a. 1-9,49,Transporte terrestre y por tuberías,5
17011,Comuna 1,-34.605,-58.383,a. 1-9,49,Transporte terrestre y por tuberías,5
17012,Comuna 1,-34.605,-58.376,a. 1-9,49,Transporte terrestre y por tuberías,5
17013,Comuna 1,-34.603,-58.385,a. 1-9,49,Transporte terrestre y por tuberías,5
17014,Comuna 1,-34.588,-58.37,b. 10-49,49,Transporte terrestre y por tuberías,25
17015,Comuna 1,-34.615,-58.375,d. 200-499,49,Transporte terrestre y por tuberías,350
